Rows,Change_MontipHard12,Change_AcropHard12,Change_PocHard12,Change_PavonaHard12,Change_PoritesHard12
C3OpenEnrichedIntact,-16.713265832405874,-8.129970954694752,-1.674855452102392,-0.190016015635603,-1.1509541518499415
C41X1EnrichedDisturbed,28.559232218558645,10.227272727272728,17.045454545454543,3.4591380122468203,0
C42X2EnrichedDisturbed,0.9961685823754793,3.888888888888889,8.88888888888889,2.9036672140120414,0
C43X3EnrichedDisturbed,11.383996742339408,2.127659574468085,3.723404255319149,2.6595744680851063,1.5957446808510638
C4OpenEnrichedDisturbed,3.739911679610173,3.0303030303030303,9.090909090909092,1.3156692553677478,0
D11X1AmbientDisturbed,19.083555292492846,1.0752688172043012,2.1505376344086025,1.6129032258064515,0
D12X2AmbientDisturbed,0.3380662609871534,0,3.4482758620689653,0.5747126436781609,-0.49019607843137253
D13X3AmbientDisturbed,-7.4378508420208505,2.3255813953488373,1.1627906976744187,2.3255813953488373,0
D1OpenAmbientDisturbed,-5.661103979460847,0.5263157894736842,1.0526315789473684,0.038510911424903704,0
D21X1AmbientIntact,-10.676109908846481,-1.8340000437187136,4.918355301987013,0.966183574879227,0.03060309965680802
D22X2AmbientIntact,-9.829545454545453,-2.159090909090909,-4.14772727272727,0.5113636363636365,-1.1931818181818181
D23X3AmbientIntact,-19.7564679720128,-2.912621359223301,-23.36605738460704,-0.8244291370613439,-2.4271844660194173
D2OpenAmbientIntact,-9.101680310211115,-0.9478672985781991,-13.039638087031452,0.8315381301163289,-2.3890564411891426
D31X1EnrichedDisturbed,10.814889336016098,11.73469387755102,3.571428571428571,3.571428571428571,0
D32X2EnrichedDisturbed,8.240161001788909,1.744186046511628,2.3255813953488373,2.3255813953488373,0
D33X3EnrichedDisturbed,2.4448705656759344,2.380952380952381,4.166666666666666,2.900287631831256,4.686001917545541
D3OpenEnrichedDisturbed,1.4159196748230105,3.825136612021858,3.825136612021858,1.639344262295082,-0.49261083743842365
D41X1EnrichedIntact,4.738181504485851,-2.238612836438924,-1.3285024154589387,-0.3731021394064872,-4.874051069703243
D42X2EnrichedIntact,-2.280701754385966,2.3057644110275684,-0.6516290726817076,0.20050125313283185,-0.9022556390977444
D43X3EnrichedIntact,-21.384445161587756,5.156516527592089,12.173251578995892,-1.703471485869716,0.677700428749251
D4OpenEnrichedIntact,-14.067336931211136,2.416239761115525,19.864120757198037,0.10410103279182525,0.9944388132482262
